Starting new model
Karma level = 5
Karma level = 6
Karma level = 11
Я напился
Karma level = 18
Karma level = 19
Karma level = 22
Karma level = 27
Karma level = 31
Karma level = 32
Karma level = 33
Я глютен :)
Karma level = 34
Karma level = 41
Karma level = 45
Karma level = 47
Karma level = 53
Karma level = 54
Karma level = 57
Karma level = 61
Karma level = 64
Karma level = 68
Karma level = 75
Karma level = 78
Karma level = 80
Karma level = 83
Karma level = 86
Karma level = 88
Karma level = 90
Karma level = 96
Я глютен :)
Karma level = 103
Karma level = 105
Karma level = 109
Karma level = 111
Karma level = 114
Я самоубился
Karma level = 118
Karma level = 122
Karma level = 123
Karma level = 128
Karma level = 129
Karma level = 130
Karma level = 131
Я самоубился
Karma level = 134
Karma level = 139
Karma level = 140
Karma level = 141
Karma level = 142
Karma level = 149
Karma level = 154
Karma level = 155
Karma level = 157
Karma level = 164
Karma level = 165
Karma level = 170
Karma level = 177
Karma level = 184
Karma level = 189
Karma level = 195
Karma level = 199
Karma level = 205
Karma level = 211
Karma level = 215
Karma level = 219
Karma level = 223
Я Бог!
Karma level = 226
Karma level = 227
Karma level = 231
Karma level = 237
Karma level = 244
Karma level = 245
Karma level = 248
Я глютен :)
Karma level = 253
Karma level = 254
Karma level = 259
Karma level = 263
Karma level = 269
Karma level = 276
Karma level = 282
Karma level = 284
Karma level = 291
Karma level = 298
Karma level = 301
Karma level = 307
Karma level = 309
Karma level = 310
Karma level = 317
Karma level = 318
Karma level = 325
Karma level = 331
Karma level = 334
Karma level = 338
Karma level = 342
Karma level = 346
Karma level = 351
Karma level = 356
Karma level = 363
Я напился
Karma level = 364
Я самоубился
Karma level = 369
Karma level = 374
Karma level = 380
Karma level = 384
Karma level = 389
Karma level = 391
Karma level = 394
Karma level = 398
Karma level = 399
Karma level = 406
Karma level = 407
Karma level = 413
Karma level = 415
Karma level = 418
Karma level = 420
Karma level = 421
Karma level = 427
Karma level = 433
Karma level = 438
Karma level = 442
Karma level = 449
Karma level = 450
Karma level = 451
Karma level = 453
Karma level = 458
Karma level = 460
Karma level = 462
Karma level = 469
Я в депрессии
Karma level = 470
Я напился
Karma level = 471
Karma level = 472
Karma level = 474
Karma level = 476
Karma level = 481
Karma level = 483
Karma level = 489
Karma level = 494
Я глютен :)
Karma level = 497
Karma level = 498
Я в депрессии
Karma level = 501
Karma level = 506
Karma level = 507
Karma level = 510
Karma level = 515
Karma level = 518
Karma level = 525
Karma level = 532
Karma level = 533
Karma level = 536
Karma level = 538
Karma level = 541
Karma level = 542
Karma level = 547
Karma level = 550
Karma level = 556
Karma level = 559
Karma level = 563
Karma level = 570
Karma level = 571
Я самоубился
Karma level = 578
Я глютен :)
Karma level = 584
Karma level = 588
Karma level = 595
Karma level = 598
Karma level = 599
Karma level = 600
Karma level = 601
Karma level = 606
Karma level = 609
Karma level = 610
Karma level = 617
Karma level = 622
Karma level = 629
Karma level = 631
Karma level = 633
Karma level = 638
Karma level = 640
Karma level = 647
Я самоубился
Karma level = 651
Karma level = 655
Karma level = 660
Karma level = 662
Karma level = 665
Karma level = 670
Karma level = 672
Karma level = 678
Karma level = 684
Karma level = 689
Karma level = 695
Karma level = 696
Karma level = 698
Karma level = 700
Karma level = 702
Karma level = 705
Karma level = 710
Меня сбила машина!
Karma level = 714
Karma level = 719
Karma level = 721
Karma level = 725
Karma level = 728
Karma level = 732
Karma level = 737
Karma level = 738
Karma level = 741
Karma level = 743
Karma level = 748
Karma level = 749
Karma level = 751
Я самоубился
Karma level = 754
Karma level = 757
Karma level = 760
Karma level = 765
Karma level = 771
Karma level = 778
